"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var156","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var157","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var158","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var159","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var160","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var161","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var162","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var163","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var164","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var165","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var166","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var167","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var168","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var169","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var170","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var171","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var172","1. Food items","na","NA","NA",450,25.5106728462327,400,500,"mantika_label","Sebha"
"dependent.var173","1. Food items","na","NA","NA",920,12.7553364231164,900,950,"mantika_label","Aljufra"
"dependent.var174","1. Food items","na","NA","NA",500,25.5106728462327,500,600,"mantika_label","Tripoli"
"dependent.var175","1. Food items","na","NA","NA",600,26.1054736125134,597.668423840226,700,"mantika_label","Wadi Ashshati"
"dependent.var176","1. Food items","na","NA","NA",500,102.563560895856,397.958229035882,800,"mantika_label","Aljfara"
"dependent.var177","1. Food items","na","NA","NA",500,38.266009269349,450,600,"mantika_label","Ejdabia"
"dependent.var178","1. Food items","na","NA","NA",600,25.5106728462327,600,700,"mantika_label","Alkufra"
"dependent.var179","1. Food items","na","NA","NA",300,0,300,300,"mantika_label","Sirt"
"dependent.var180","1. Food items","na","NA","NA",450,25.5106728462327,400,500,"mantika_label","Ghat"
"dependent.var181","1. Food items","na","NA","NA",500,38.266009269349,400,550,"mantika_label","Al Jabal Al Gharbi"
"dependent.var182","1. Food items","na","NA","NA",350,12.7553364231164,350,400,"mantika_label","Derna"
"dependent.var183","1. Food items","na","NA","NA",325.78046702794,38.266009269349,250,400,"mantika_label","Azzawya"
"dependent.var184","1. Food items","na","NA","NA",389.168468295943,12.7553364231164,350,400,"mantika_label","Zwara"
"dependent.var185","1. Food items","na","NA","NA",400,25.5106728462327,300,400,"mantika_label","Murzuq"
"dependent.var186","1. Food items","na","NA","NA",600,51.0213456924654,550,750,"mantika_label","Misrata"
"dependent.var187","1. Food items","na","NA","NA",600,38.266009269349,500,650,"mantika_label","Benghazi"
"dependent.var188","1. Food items","na","NA","NA",500,18.9819969992235,460,534.408060946251,"mantika_label","Ubari"
"dependent.var189","2. Rent","na","NA","NA",400,12.7553364231164,400,450,"mantika_label","Sebha"
"dependent.var190","2. Rent","na","NA","NA",400,12.7553364231164,400,450,"mantika_label","Aljufra"
"dependent.var191","2. Rent","na","NA","NA",616.349744773054,76.5320185386981,500,800,"mantika_label","Tripoli"
"dependent.var192","2. Rent","na","NA","NA",216.161463516062,77.7359691415308,45.2806003585653,350,"mantika_label","Wadi Ashshati"
"dependent.var193","2. Rent","na","NA","NA",700,149.165913812594,400,984.719637587379,"mantika_label","Aljfara"
"dependent.var194","2. Rent","na","NA","NA",350,38.266009269349,300,450,"mantika_label","Ejdabia"
"dependent.var195","2. Rent","na","NA","NA",300,25.5106728462327,250,350,"mantika_label","Alkufra"
"dependent.var196","2. Rent","na","NA","NA",400,0,400,400,"mantika_label","Sirt"
"dependent.var197","2. Rent","na","NA","NA",200,4.91627103821449,180.728571653725,200,"mantika_label","Ghat"
"dependent.var198","2. Rent","na","NA","NA",400,115.504276146609,47.2315573845533,500,"mantika_label","Al Jabal Al Gharbi"
"dependent.var199","2. Rent","na","NA","NA",350,25.5106728462327,300,400,"mantika_label","Derna"
"dependent.var200","2. Rent","na","NA","NA",350,22.8818808143205,300,389.695324589212,"mantika_label","Azzawya"
"dependent.var201","2. Rent","na","NA","NA",300,24.8480301904106,250,347.402488519937,"mantika_label","Zwara"
"dependent.var202","2. Rent","na","NA","NA",293.752842002169,55.0681583903916,200,415.863214280229,"mantika_label","Murzuq"
"dependent.var203","2. Rent","na","NA","NA",450,51.0213456924654,300,500,"mantika_label","Misrata"
"dependent.var204","2. Rent","na","NA","NA",508.552499035843,80.0107561111172,500,813.636400707216,"mantika_label","Benghazi"
"dependent.var205","2. Rent","na","NA","NA",300,5.10213456924654,280,300,"mantika_label","Ubari"
"dependent.var206","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
"dependent.var207","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var208","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var209","3. Shelter maintenance","na","NA","NA",0,5.10213456924654,0,20,"mantika_label","Wadi Ashshati"
"dependent.var210","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var211","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var212","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var213","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var214","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var215","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var216","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var217","3. Shelter maintenance","na","NA","NA",50,25.5106728462327,0,100,"mantika_label","Azzawya"
"dependent.var218","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var219","3. Shelter maintenance","na","NA","NA",50,0,50,50,"mantika_label","Murzuq"
"dependent.var220","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var221","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var222","3. Shelter maintenance","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var223","4. Water (from all sources combined)","na","NA","NA",80,2.55106728462327,80,90,"mantika_label","Sebha"
"dependent.var224","4. Water (from all sources combined)","na","NA","NA",40,0,40,40,"mantika_label","Aljufra"
"dependent.var225","4. Water (from all sources combined)","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var226","4. Water (from all sources combined)","na","NA","NA",55,4.78943153246173,41.2257733799091,60,"mantika_label","Wadi Ashshati"
"dependent.var227","4. Water (from all sources combined)","na","NA","NA",20,1.27553364231164,20,25,"mantika_label","Aljfara"
"dependent.var228","4. Water (from all sources combined)","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var229","4. Water (from all sources combined)","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var230","4. Water (from all sources combined)","na","NA","NA",50,0,50,50,"mantika_label","Sirt"
"dependent.var231","4. Water (from all sources combined)","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var232","4. Water (from all sources combined)","na","NA","NA",96.5717476346724,5.10213456924654,80,100,"mantika_label","Al Jabal Al Gharbi"
"dependent.var233","4. Water (from all sources combined)","na","NA","NA",40,8.37070909048879,17.1874233151599,50,"mantika_label","Derna"
"dependent.var234","4. Water (from all sources combined)","na","NA","NA",100,5.10213456924654,80,100,"mantika_label","Azzawya"
"dependent.var235","4. Water (from all sources combined)","na","NA","NA",100,5.10213456924654,100,120,"mantika_label","Zwara"
"dependent.var236","4. Water (from all sources combined)","na","NA","NA",40,10.228736303833,9.90409047425983,50,"mantika_label","Murzuq"
"dependent.var237","4. Water (from all sources combined)","na","NA","NA",45,1.27553364231164,45,50,"mantika_label","Misrata"
"dependent.var238","4. Water (from all sources combined)","na","NA","NA",50,5.10213456924654,40,60,"mantika_label","Benghazi"
"dependent.var239","4. Water (from all sources combined)","na","NA","NA",20,7.65320185386981,0,30,"mantika_label","Ubari"
"dependent.var240","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",100,5.10213456924654,80,100,"mantika_label","Sebha"
"dependent.var241","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",35,0,35,35,"mantika_label","Aljufra"
"dependent.var242","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",0,15.3064037077396,0,60,"mantika_label","Tripoli"
"dependent.var243","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",100,11.9178043776216,73.2830652901357,120,"mantika_label","Wadi Ashshati"
"dependent.var244","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",60,3.82660092693491,50,65,"mantika_label","Aljfara"
"dependent.var245","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",60,12.7553364231164,50,100,"mantika_label","Ejdabia"
"dependent.var246","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",100,5.10213456924654,80,100,"mantika_label","Alkufra"
"dependent.var247","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",50,5.10213456924654,50,70,"mantika_label","Sirt"
